      Step     Time          Energy          fmax
FIRE:    0 22:13:59      -34.147600        4.941101
FIRE:    1 22:13:59      -34.585241        3.802590
FIRE:    2 22:13:59      -35.150572        2.506410
FIRE:    3 22:13:59      -35.610833        1.316877
FIRE:    4 22:13:59      -35.870426        0.686906
FIRE:    5 22:13:59      -35.942420        0.795921
FIRE:    6 22:13:59      -35.946349        0.784351
FIRE:    7 22:14:00      -35.954047        0.761860
FIRE:    8 22:14:00      -35.965206        0.729606
FIRE:    9 22:14:00      -35.979391        0.689280
FIRE:   10 22:14:00      -35.996063        0.643021
FIRE:   11 22:14:00      -36.014618        0.593074
FIRE:   12 22:14:00      -36.034396        0.541542
FIRE:   13 22:14:00      -36.056860        0.485051
FIRE:   14 22:14:00      -36.081304        0.425643
FIRE:   15 22:14:00      -36.106417        0.365534
FIRE:   16 22:14:00      -36.130326        0.306923
FIRE:   17 22:14:00      -36.151125        0.272116
FIRE:   18 22:14:00      -36.168156        0.308566
FIRE:   19 22:14:01      -36.183517        0.364452
FIRE:   20 22:14:01      -36.201462        0.424057
FIRE:   21 22:14:01      -36.225882        0.433782
FIRE:   22 22:14:01      -36.259119        0.446958
FIRE:   23 22:14:01      -36.303328        0.507233
FIRE:   24 22:14:01      -36.359590        0.580213
FIRE:   25 22:14:01      -36.417504        0.602661
FIRE:   26 22:14:01      -36.438391        0.517461
FIRE:   27 22:14:01      -36.444712        0.479100
FIRE:   28 22:14:01      -36.455769        0.408144
FIRE:   29 22:14:01      -36.469013        0.323569
FIRE:   30 22:14:01      -36.481841        0.264318
FIRE:   31 22:14:02      -36.492497        0.246020
FIRE:   32 22:14:02      -36.500640        0.247989
FIRE:   33 22:14:02      -36.507274        0.262127
FIRE:   34 22:14:02      -36.514633        0.280259
FIRE:   35 22:14:02      -36.524365        0.295177
FIRE:   36 22:14:02      -36.537808        0.302067
FIRE:   37 22:14:02      -36.555647        0.298160
FIRE:   38 22:14:02      -36.577823        0.281194
FIRE:   39 22:14:02      -36.602571        0.244025
FIRE:   40 22:14:02      -36.622537        0.177281
FIRE:   41 22:14:02      -36.621515        0.208828
FIRE:   42 22:14:02      -36.622618        0.199165
FIRE:   43 22:14:02      -36.624583        0.180775
FIRE:   44 22:14:03      -36.626987        0.155301
FIRE:   45 22:14:03      -36.629363        0.124737
FIRE:   46 22:14:03      -36.631296        0.090948
FIRE:   47 22:14:03      -36.632528        0.055244
FIRE:   48 22:14:03      -36.632984        0.032269
      Step     Time          Energy          fmax
FIRE:    0 22:34:57      -36.502143        0.600908
FIRE:    1 22:34:57      -36.508384        0.576002
FIRE:    2 22:34:57      -36.520014        0.525555
FIRE:    3 22:34:57      -36.535405        0.449029
FIRE:    4 22:34:57      -36.552315        0.348179
FIRE:    5 22:34:57      -36.568273        0.246558
FIRE:    6 22:34:58      -36.581238        0.248374
FIRE:    7 22:34:58      -36.590450        0.256786
FIRE:    8 22:34:58      -36.597294        0.282990
FIRE:    9 22:34:58      -36.602991        0.339555
FIRE:   10 22:34:58      -36.608795        0.348102
FIRE:   11 22:34:58      -36.614852        0.342471
FIRE:   12 22:34:58      -36.620925        0.343072
FIRE:   13 22:34:58      -36.626344        0.293546
FIRE:   14 22:34:58      -36.627858        0.272314
FIRE:   15 22:34:58      -36.630537        0.232865
FIRE:   16 22:34:58      -36.633797        0.181185
FIRE:   17 22:34:58      -36.637002        0.131664
FIRE:   18 22:34:59      -36.639654        0.126254
FIRE:   19 22:34:59      -36.641506        0.114446
FIRE:   20 22:34:59      -36.642571        0.092419
FIRE:   21 22:34:59      -36.643014        0.061611
FIRE:   22 22:34:59      -36.643047        0.060919
FIRE:   23 22:34:59      -36.643111        0.059549
FIRE:   24 22:34:59      -36.643202        0.057532
FIRE:   25 22:34:59      -36.643313        0.054909
FIRE:   26 22:34:59      -36.643436        0.051736
FIRE:   27 22:34:59      -36.643562        0.048082
      Step     Time          Energy          fmax
FIRE:    0 22:55:36      -36.574593        1.136907
FIRE:    1 22:55:36      -36.596744        0.948521
FIRE:    2 22:55:36      -36.628897        0.613906
FIRE:    3 22:55:37      -36.654985        0.350386
FIRE:    4 22:55:37      -36.665484        0.364264
FIRE:    5 22:55:38      -36.664422        0.519196
FIRE:    6 22:55:38      -36.665805        0.496696
FIRE:    7 22:55:39      -36.668373        0.452699
FIRE:    8 22:55:39      -36.671768        0.389194
FIRE:    9 22:55:40      -36.675522        0.309169
FIRE:   10 22:55:40      -36.679146        0.251149
FIRE:   11 22:55:40      -36.682210        0.209985
FIRE:   12 22:55:41      -36.684444        0.175063
FIRE:   13 22:55:41      -36.685917        0.151367
FIRE:   14 22:55:42      -36.686727        0.197040
FIRE:   15 22:55:42      -36.687370        0.262851
FIRE:   16 22:55:43      -36.688505        0.291428
FIRE:   17 22:55:43      -36.690576        0.273119
FIRE:   18 22:55:43      -36.693393        0.202430
FIRE:   19 22:55:44      -36.695887        0.082383
FIRE:   20 22:55:44      -36.696507        0.077963
FIRE:   21 22:55:45      -36.696545        0.074822
FIRE:   22 22:55:45      -36.696619        0.068725
FIRE:   23 22:55:46      -36.696716        0.060034
FIRE:   24 22:55:46      -36.696826        0.049359
